Handle,Title,Description,Vendor,Product Category,Type,Tags,Price,Status
build-your-sleep-system,Build Your Sleep System,,Bed Gear & Malouf,Sporting Goods > Outdoor Recreation > Camping & Hiking > Tent Accessories > Tent Footprints,Sleep System,Sleep System,0.0,active
down-alternative-microfiber-comforter,Down Alternative Microfiber Comforter,"<h3>Experience Year-Round Comfort with the Down Alternative Microfiber Comforter</h3>
<p><strong>Enhance your sleep with MySnoozePod's Down Alternative Microfiber Comforter</strong>, designed to provide cozy comfort throughout all seasons. This hypoallergenic comforter is perfect for those who seek the plush feel of down without the allergens.</p>
<!---->",Malouf,Home & Garden > Linens & Bedding > Bedding > Quilts & Comforters,Comforters/Blankets,"Bedding, Comforters/Blankets",0.0,active
down-alternative-microfiber-comforter,Unknown,,Unknown,Uncategorized,Unknown,,0.0,inactive
down-alternative-microfiber-comforter,Unknown,,Unknown,Uncategorized,Unknown,,0.0,inactive
down-alternative-microfiber-comforter,Unknown,,Unknown,Uncategorized,Unknown,,0.0,inactive
down-alternative-microfiber-comforter,Unknown,,Unknown,Uncategorized,Unknown,,0.0,inactive
down-alternative-microfiber-comforter,Unknown,,Unknown,Uncategorized,Unknown,,0.0,inactive
down-alternative-microfiber-comforter,Unknown,,Unknown,Uncategorized,Unknown,,0.0,inactive
down-alternative-microfiber-comforter,Unknown,,Unknown,Uncategorized,Unknown,,0.0,inactive
anderson-platform-bed,Anderson Platform Bed,"<h3>Modern Elegance with the Anderson Platform Bed</h3>
<p><strong>Transform your bedroom with MySnoozePod's Anderson Platform Bed</strong>, a perfect blend of contemporary design and practical functionality. Featuring a plush headboard and sleek lines, this bed is designed to enhance the aesthetics and comfort of your sleeping space.</p>
<!---->",Malouf,Furniture > Beds & Accessories > Beds & Bed Frames > Wall Beds & Bed Frames,Furniture,Furniture,0.0,active
anderson-platform-bed,Unknown,,Unknown,Uncategorized,Unknown,,0.0,inactive
anderson-platform-bed,Unknown,,Unknown,Uncategorized,Unknown,,0.0,inactive
anderson-platform-bed,Unknown,,Unknown,Uncategorized,Unknown,,0.0,inactive
jensen-platform-bed,Jensen Platform Bed,"<h3>Enhance Your Bedroom with the Elegant Jensen Platform Bed</h3>
<p><strong>Introducing the Jensen Platform Bed from MySnoozePod</strong>, designed to elevate the look and feel of your bedroom with its plush headboard and contemporary design. This platform-style bed combines style, comfort, and durability to provide a perfect foundation for a great night’s sleep.</p>
<!---->",Malouf,Furniture > Beds & Accessories > Beds & Bed Frames,Furniture,Furniture,0.0,active
jensen-platform-bed,Unknown,,Unknown,Uncategorized,Unknown,,0.0,inactive
jensen-platform-bed,Unknown,,Unknown,Uncategorized,Unknown,,0.0,inactive
jensen-platform-bed,Unknown,,Unknown,Uncategorized,Unknown,,0.0,inactive
jensen-platform-bed,Unknown,,Unknown,Uncategorized,Unknown,,0.0,inactive
jensen-platform-bed,Unknown,,Unknown,Uncategorized,Unknown,,0.0,inactive
jensen-platform-bed,Unknown,,Unknown,Uncategorized,Unknown,,0.0,inactive
